reservation_status_date,Count,Percentage
2015-12-04,92,0.0007705838009883575
2016-12-26,92,0.0007705838009883575
2016-01-25,92,0.0007705838009883575
2015-01-21,91,0.0007622078901080492
2016-12-17,91,0.0007622078901080492
2017-08-23,91,0.0007622078901080492
2015-08-07,91,0.0007622078901080492
2015-12-11,90,0.000753831979227741
2015-11-04,90,0.000753831979227741
2015-12-17,90,0.000753831979227741
2015-08-26,90,0.000753831979227741
2017-01-16,89,0.0007454560683474328
2016-06-11,89,0.0007454560683474328
2016-06-18,89,0.0007454560683474328
2017-08-08,89,0.0007454560683474328
2016-01-13,89,0.0007454560683474328
2015-07-25,88,0.0007370801574671245
2016-10-15,88,0.0007370801574671245
2015-07-20,87,0.0007287042465868163
2015-10-29,87,0.0007287042465868163
2016-02-02,86,0.0007203283357065081
2017-08-29,86,0.0007203283357065081
2015-08-30,85,0.0007119524248261999
2015-08-20,84,0.0007035765139458916
2017-07-05,84,0.0007035765139458916
2015-08-24,84,0.0007035765139458916
2015-10-03,83,0.0006952006030655833
2015-10-25,82,0.0006868246921852752
2017-09-03,81,0.0006784487813049669
2015-07-09,81,0.0006784487813049669
2016-12-10,81,0.0006784487813049669
2016-01-04,80,0.0006700728704246586
2015-07-16,80,0.0006700728704246586
2015-11-14,80,0.0006700728704246586
2015-09-02,80,0.0006700728704246586
2016-09-24,79,0.0006616969595443505
2016-11-08,78,0.0006533210486640422
2015-12-13,77,0.000644945137783734
2015-07-26,77,0.000644945137783734
2015-12-28,77,0.000644945137783734
2015-12-12,76,0.0006365692269034258
2017-08-22,76,0.0006365692269034258
2017-08-11,76,0.0006365692269034258
2015-12-27,75,0.0006281933160231175
2015-08-23,75,0.0006281933160231175
2016-12-31,74,0.0006198174051428093
2015-08-15,74,0.0006198174051428093
2017-08-31,74,0.0006198174051428093
2015-11-07,73,0.000611441494262501
2015-11-20,73,0.000611441494262501
2015-10-17,73,0.000611441494262501
2017-08-30,71,0.0005946896725018846
2016-01-10,71,0.0005946896725018846
2015-11-03,71,0.0005946896725018846
2015-07-14,69,0.0005779378507412681
2015-12-31,68,0.0005695619398609599
2015-12-15,68,0.0005695619398609599
2015-08-27,68,0.0005695619398609599
2016-12-01,68,0.0005695619398609599
2015-01-30,67,0.0005611860289806516
2016-05-28,67,0.0005611860289806516
2015-06-26,67,0.0005611860289806516
2017-09-02,66,0.0005528101181003435
2016-01-23,66,0.0005528101181003435
2016-01-12,66,0.0005528101181003435
2015-11-18,65,0.0005444342072200352
2016-06-25,64,0.0005360582963397269
2015-12-26,64,0.0005360582963397269
2015-06-30,64,0.0005360582963397269
2016-01-30,64,0.0005360582963397269
2016-02-06,64,0.0005360582963397269
2015-12-19,63,0.0005276823854594187
2015-11-05,61,0.0005109305636988022
2016-01-09,59,0.0004941787419381858
2016-12-24,58,0.00048580283105787754
2015-07-28,57,0.0004774269201775693
2015-11-12,57,0.0004774269201775693
2015-08-03,55,0.0004606750984169528
2015-12-20,55,0.0004606750984169528
2015-07-18,55,0.0004606750984169528
2015-07-21,55,0.0004606750984169528
2015-07-07,55,0.0004606750984169528
2015-06-15,53,0.0004439232766563364
2015-12-01,53,0.0004439232766563364
2015-11-08,53,0.0004439232766563364
2015-12-25,52,0.00043554736577602817
2015-11-25,52,0.00043554736577602817
2015-07-13,51,0.0004271714548957199
2015-07-27,51,0.0004271714548957199
2015-08-02,51,0.0004271714548957199
2015-11-13,50,0.0004187955440154117
2015-11-28,50,0.0004187955440154117
2015-05-14,50,0.0004187955440154117
2015-09-27,48,0.0004020437222547952
2015-08-05,46,0.00038529190049417874
2015-07-12,46,0.00038529190049417874
2015-12-16,45,0.0003769159896138705
2015-11-10,45,0.0003769159896138705
2015-07-15,44,0.00036854007873356225
2015-06-16,44,0.00036854007873356225
2015-07-11,42,0.0003517882569729458
2016-12-25,41,0.0003434123460926376
2015-12-06,40,0.0003350364352123293
2015-03-03,38,0.0003182846134517129
2017-09-04,37,0.00030990870257140466
2015-12-21,36,0.0003015327916910964
2015-06-09,35,0.00029315688081078817
2015-05-29,34,0.00028478096993047995
2015-05-19,33,0.00027640505905017173
2015-07-05,33,0.00027640505905017173
2015-12-05,31,0.00025965323728955524
2015-06-27,29,0.00024290141552893877
2015-05-28,28,0.00023452550464863055
2015-04-29,27,0.0002261495937683223
2015-04-28,25,0.00020939777200770584
2015-12-24,24,0.0002010218611273976
2015-06-23,22,0.00018427003936678113
2017-09-05,21,0.0001758941284864729
2015-02-20,20,0.00016751821760616466
2017-09-07,19,0.00015914230672585644
2015-04-02,18,0.0001507663958455482
2015-03-25,17,0.00014239048496523997
2015-07-04,16,0.00013401457408493173
2017-09-06,16,0.00013401457408493173
2015-06-22,16,0.00013401457408493173
2015-01-02,16,0.00013401457408493173
2015-07-01,15,0.0001256386632046235
2015-06-25,15,0.0001256386632046235
2015-06-19,14,0.00011726275232431528
2015-06-11,13,0.00010888684144400704
2015-05-13,13,0.00010888684144400704
2015-06-01,13,0.00010888684144400704
2015-05-18,12,0.0001005109305636988
2015-05-12,11,9.213501968339056e-05
2015-06-02,10,8.375910880308233e-05
2015-05-27,10,8.375910880308233e-05
2015-06-08,10,8.375910880308233e-05
2015-05-22,10,8.375910880308233e-05
2015-06-12,10,8.375910880308233e-05
2015-06-03,9,7.53831979227741e-05
2015-04-15,9,7.53831979227741e-05
2015-05-01,9,7.53831979227741e-05
2015-04-04,8,6.700728704246586e-05
2015-05-20,8,6.700728704246586e-05
2015-05-23,8,6.700728704246586e-05
2015-06-20,8,6.700728704246586e-05
2015-04-22,7,5.863137616215764e-05
2015-04-16,7,5.863137616215764e-05
2015-06-05,7,5.863137616215764e-05
2015-06-18,7,5.863137616215764e-05
2015-06-04,6,5.02554652818494e-05
2015-06-24,6,5.02554652818494e-05
2017-09-09,6,5.02554652818494e-05
2015-05-07,6,5.02554652818494e-05
2015-04-20,6,5.02554652818494e-05
2015-05-25,6,5.02554652818494e-05
2015-05-06,6,5.02554652818494e-05
2015-01-22,6,5.02554652818494e-05
2015-04-05,6,5.02554652818494e-05
2015-05-11,5,4.1879554401541165e-05
2015-04-10,5,4.1879554401541165e-05
2015-02-05,4,3.350364352123293e-05
2015-06-13,4,3.350364352123293e-05
2017-09-08,4,3.350364352123293e-05
2015-05-09,4,3.350364352123293e-05
2015-03-17,4,3.350364352123293e-05
2015-04-06,4,3.350364352123293e-05
2015-03-09,4,3.350364352123293e-05
2017-09-10,4,3.350364352123293e-05
2015-05-05,4,3.350364352123293e-05
2015-03-31,4,3.350364352123293e-05
2015-06-10,4,3.350364352123293e-05
2015-04-24,4,3.350364352123293e-05
2015-05-30,3,2.51277326409247e-05
2015-04-14,3,2.51277326409247e-05
2015-03-24,3,2.51277326409247e-05
2015-04-08,3,2.51277326409247e-05
2015-05-16,3,2.51277326409247e-05
2015-04-11,3,2.51277326409247e-05
2015-04-23,3,2.51277326409247e-05
2015-05-04,3,2.51277326409247e-05
2015-05-08,3,2.51277326409247e-05
2015-02-11,3,2.51277326409247e-05
2015-05-21,3,2.51277326409247e-05
2015-06-06,3,2.51277326409247e-05
2015-02-23,2,1.6751821760616466e-05
2015-02-17,2,1.6751821760616466e-05
2015-02-25,2,1.6751821760616466e-05
2015-04-03,2,1.6751821760616466e-05
2017-09-14,2,1.6751821760616466e-05
2015-03-06,2,1.6751821760616466e-05
2015-01-20,2,1.6751821760616466e-05
2015-04-18,2,1.6751821760616466e-05
2015-02-10,2,1.6751821760616466e-05
2015-03-23,2,1.6751821760616466e-05
2015-04-17,2,1.6751821760616466e-05
2015-05-26,2,1.6751821760616466e-05
2015-02-02,2,1.6751821760616466e-05
2015-03-04,2,1.6751821760616466e-05
2015-04-13,2,1.6751821760616466e-05
2017-09-12,1,8.375910880308233e-06
2015-06-14,1,8.375910880308233e-06
2015-04-07,1,8.375910880308233e-06
2015-02-19,1,8.375910880308233e-06
2015-02-09,1,8.375910880308233e-06
2015-03-18,1,8.375910880308233e-06
2015-03-11,1,8.375910880308233e-06
2015-04-30,1,8.375910880308233e-06
2015-03-05,1,8.375910880308233e-06
2015-03-12,1,8.375910880308233e-06
2015-03-28,1,8.375910880308233e-06
2015-01-28,1,8.375910880308233e-06
2015-04-27,1,8.375910880308233e-06
2015-02-27,1,8.375910880308233e-06
2015-01-18,1,8.375910880308233e-06
2015-03-13,1,8.375910880308233e-06
2015-02-24,1,8.375910880308233e-06
2015-02-06,1,8.375910880308233e-06
2014-11-18,1,8.375910880308233e-06
2015-05-15,1,8.375910880308233e-06
2015-04-25,1,8.375910880308233e-06
2015-01-29,1,8.375910880308233e-06
2015-03-30,1,8.375910880308233e-06
2015-04-21,1,8.375910880308233e-06
2015-02-12,1,8.375910880308233e-06
2015-03-29,1,8.375910880308233e-06
2015-03-10,1,8.375910880308233e-06
2015-02-26,1,8.375910880308233e-06
