country,Count,Percentage
PAK,14,0.00011726275232431528
IRQ,14,0.00011726275232431528
DOM,14,0.00011726275232431528
BIH,13,0.00010888684144400704
MDV,12,0.0001005109305636988
BGD,12,0.0001005109305636988
ALB,12,0.0001005109305636988
PRI,12,0.0001005109305636988
SEN,11,9.213501968339056e-05
CMR,10,8.375910880308233e-05
BOL,10,8.375910880308233e-05
MKD,10,8.375910880308233e-05
GNB,9,7.53831979227741e-05
PAN,9,7.53831979227741e-05
TJK,9,7.53831979227741e-05
LBY,8,6.700728704246586e-05
VNM,8,6.700728704246586e-05
JEY,8,6.700728704246586e-05
ARM,8,6.700728704246586e-05
CUB,8,6.700728704246586e-05
AND,7,5.863137616215764e-05
MUS,7,5.863137616215764e-05
LKA,7,5.863137616215764e-05
JAM,6,5.02554652818494e-05
KEN,6,5.02554652818494e-05
CIV,6,5.02554652818494e-05
SUR,5,4.1879554401541165e-05
FRO,5,4.1879554401541165e-05
BHR,5,4.1879554401541165e-05
CAF,5,4.1879554401541165e-05
TZA,5,4.1879554401541165e-05
MNE,5,4.1879554401541165e-05
GAB,4,3.350364352123293e-05
MCO,4,3.350364352123293e-05
GTM,4,3.350364352123293e-05
PRY,4,3.350364352123293e-05
BRB,4,3.350364352123293e-05
ZWE,4,3.350364352123293e-05
UZB,4,3.350364352123293e-05
GHA,4,3.350364352123293e-05
BEN,3,2.51277326409247e-05
GGY,3,2.51277326409247e-05
LIE,3,2.51277326409247e-05
SYR,3,2.51277326409247e-05
ETH,3,2.51277326409247e-05
TMP,3,2.51277326409247e-05
MWI,2,1.6751821760616466e-05
KNA,2,1.6751821760616466e-05
ATA,2,1.6751821760616466e-05
STP,2,1.6751821760616466e-05
LAO,2,1.6751821760616466e-05
KHM,2,1.6751821760616466e-05
ABW,2,1.6751821760616466e-05
COM,2,1.6751821760616466e-05
TGO,2,1.6751821760616466e-05
RWA,2,1.6751821760616466e-05
SYC,2,1.6751821760616466e-05
SLV,2,1.6751821760616466e-05
IMN,2,1.6751821760616466e-05
GLP,2,1.6751821760616466e-05
ZMB,2,1.6751821760616466e-05
UGA,2,1.6751821760616466e-05
MYT,2,1.6751821760616466e-05
ASM,1,8.375910880308233e-06
VGB,1,8.375910880308233e-06
SDN,1,8.375910880308233e-06
BFA,1,8.375910880308233e-06
MDG,1,8.375910880308233e-06
SLE,1,8.375910880308233e-06
UMI,1,8.375910880308233e-06
BHS,1,8.375910880308233e-06
HND,1,8.375910880308233e-06
DMA,1,8.375910880308233e-06
LCA,1,8.375910880308233e-06
SMR,1,8.375910880308233e-06
KIR,1,8.375910880308233e-06
NAM,1,8.375910880308233e-06
FJI,1,8.375910880308233e-06
PLW,1,8.375910880308233e-06
BDI,1,8.375910880308233e-06
AIA,1,8.375910880308233e-06
MRT,1,8.375910880308233e-06
NIC,1,8.375910880308233e-06
ATF,1,8.375910880308233e-06
CYM,1,8.375910880308233e-06
MLI,1,8.375910880308233e-06
NPL,1,8.375910880308233e-06
DJI,1,8.375910880308233e-06
NCL,1,8.375910880308233e-06
BWA,1,8.375910880308233e-06
PYF,1,8.375910880308233e-06
MMR,1,8.375910880308233e-06
GUY,1,8.375910880308233e-06
