company,Count,Percentage
382.0,5,4.1879554401541165e-05
369.0,5,4.1879554401541165e-05
445.0,4,3.350364352123293e-05
282.0,4,3.350364352123293e-05
395.0,4,3.350364352123293e-05
220.0,4,3.350364352123293e-05
426.0,4,3.350364352123293e-05
115.0,4,3.350364352123293e-05
452.0,4,3.350364352123293e-05
137.0,4,3.350364352123293e-05
185.0,4,3.350364352123293e-05
192.0,4,3.350364352123293e-05
392.0,4,3.350364352123293e-05
330.0,4,3.350364352123293e-05
448.0,4,3.350364352123293e-05
353.0,4,3.350364352123293e-05
494.0,4,3.350364352123293e-05
272.0,3,2.51277326409247e-05
73.0,3,2.51277326409247e-05
260.0,3,2.51277326409247e-05
372.0,3,2.51277326409247e-05
139.0,3,2.51277326409247e-05
230.0,3,2.51277326409247e-05
512.0,3,2.51277326409247e-05
165.0,3,2.51277326409247e-05
246.0,3,2.51277326409247e-05
350.0,3,2.51277326409247e-05
245.0,3,2.51277326409247e-05
334.0,3,2.51277326409247e-05
200.0,3,2.51277326409247e-05
460.0,3,2.51277326409247e-05
240.0,3,2.51277326409247e-05
378.0,3,2.51277326409247e-05
319.0,3,2.51277326409247e-05
457.0,3,2.51277326409247e-05
93.0,3,2.51277326409247e-05
312.0,3,2.51277326409247e-05
466.0,3,2.51277326409247e-05
224.0,3,2.51277326409247e-05
84.0,3,2.51277326409247e-05
146.0,3,2.51277326409247e-05
275.0,3,2.51277326409247e-05
429.0,2,1.6751821760616466e-05
491.0,2,1.6751821760616466e-05
447.0,2,1.6751821760616466e-05
158.0,2,1.6751821760616466e-05
271.0,2,1.6751821760616466e-05
492.0,2,1.6751821760616466e-05
316.0,2,1.6751821760616466e-05
210.0,2,1.6751821760616466e-05
361.0,2,1.6751821760616466e-05
433.0,2,1.6751821760616466e-05
391.0,2,1.6751821760616466e-05
456.0,2,1.6751821760616466e-05
484.0,2,1.6751821760616466e-05
278.0,2,1.6751821760616466e-05
458.0,2,1.6751821760616466e-05
311.0,2,1.6751821760616466e-05
436.0,2,1.6751821760616466e-05
349.0,2,1.6751821760616466e-05
483.0,2,1.6751821760616466e-05
250.0,2,1.6751821760616466e-05
362.0,2,1.6751821760616466e-05
232.0,2,1.6751821760616466e-05
243.0,2,1.6751821760616466e-05
534.0,2,1.6751821760616466e-05
539.0,2,1.6751821760616466e-05
514.0,2,1.6751821760616466e-05
518.0,2,1.6751821760616466e-05
486.0,2,1.6751821760616466e-05
264.0,2,1.6751821760616466e-05
168.0,2,1.6751821760616466e-05
304.0,2,1.6751821760616466e-05
289.0,2,1.6751821760616466e-05
370.0,2,1.6751821760616466e-05
513.0,2,1.6751821760616466e-05
71.0,2,1.6751821760616466e-05
217.0,2,1.6751821760616466e-05
222.0,2,1.6751821760616466e-05
61.0,2,1.6751821760616466e-05
400.0,2,1.6751821760616466e-05
528.0,2,1.6751821760616466e-05
411.0,2,1.6751821760616466e-05
29.0,2,1.6751821760616466e-05
85.0,2,1.6751821760616466e-05
482.0,2,1.6751821760616466e-05
52.0,2,1.6751821760616466e-05
332.0,2,1.6751821760616466e-05
321.0,2,1.6751821760616466e-05
259.0,2,1.6751821760616466e-05
325.0,2,1.6751821760616466e-05
351.0,2,1.6751821760616466e-05
543.0,2,1.6751821760616466e-05
403.0,2,1.6751821760616466e-05
478.0,2,1.6751821760616466e-05
106.0,2,1.6751821760616466e-05
423.0,2,1.6751821760616466e-05
489.0,1,8.375910880308233e-06
6.0,1,8.375910880308233e-06
516.0,1,8.375910880308233e-06
102.0,1,8.375910880308233e-06
531.0,1,8.375910880308233e-06
140.0,1,8.375910880308233e-06
314.0,1,8.375910880308233e-06
77.0,1,8.375910880308233e-06
64.0,1,8.375910880308233e-06
320.0,1,8.375910880308233e-06
497.0,1,8.375910880308233e-06
352.0,1,8.375910880308233e-06
442.0,1,8.375910880308233e-06
80.0,1,8.375910880308233e-06
422.0,1,8.375910880308233e-06
419.0,1,8.375910880308233e-06
413.0,1,8.375910880308233e-06
386.0,1,8.375910880308233e-06
520.0,1,8.375910880308233e-06
213.0,1,8.375910880308233e-06
32.0,1,8.375910880308233e-06
8.0,1,8.375910880308233e-06
347.0,1,8.375910880308233e-06
417.0,1,8.375910880308233e-06
454.0,1,8.375910880308233e-06
212.0,1,8.375910880308233e-06
10.0,1,8.375910880308233e-06
100.0,1,8.375910880308233e-06
301.0,1,8.375910880308233e-06
305.0,1,8.375910880308233e-06
237.0,1,8.375910880308233e-06
313.0,1,8.375910880308233e-06
126.0,1,8.375910880308233e-06
376.0,1,8.375910880308233e-06
160.0,1,8.375910880308233e-06
461.0,1,8.375910880308233e-06
65.0,1,8.375910880308233e-06
