adr,Count,Percentage
55.8,127,0.0010637406817991457
127.0,127,0.0010637406817991457
210.0,123,0.0010302370382779128
95.4,123,0.0010302370382779128
131.0,121,0.0010134852165172962
185.0,121,0.0010134852165172962
90.9,120,0.001005109305636988
116.0,120,0.001005109305636988
120.6,119,0.0009967333947566797
175.5,119,0.0009967333947566797
165.0,118,0.0009883574838763715
152.0,115,0.0009632297512354468
100.8,114,0.0009548538403551386
88.2,113,0.0009464779294748304
147.0,112,0.0009381020185945222
156.0,112,0.0009381020185945222
179.0,111,0.0009297261077142139
52.2,110,0.0009213501968339057
103.0,110,0.0009213501968339057
102.6,109,0.0009129742859535975
78.3,109,0.0009129742859535975
166.0,108,0.0009045983750732892
174.0,107,0.0008962224641929809
90.1,106,0.0008878465533126728
54.5,105,0.0008794706424323645
172.0,104,0.0008710947315520563
63.75,104,0.0008710947315520563
151.0,103,0.0008627188206717481
175.0,103,0.0008627188206717481
132.3,102,0.0008543429097914398
8.0,102,0.0008543429097914398
114.4,102,0.0008543429097914398
86.4,101,0.0008459669989111316
166.5,100,0.0008375910880308234
113.0,100,0.0008375910880308234
112.2,99,0.0008292151771505151
104.4,99,0.0008292151771505151
143.1,99,0.0008292151771505151
83.0,98,0.0008208392662702069
132.0,97,0.0008124633553898986
122.0,97,0.0008124633553898986
117.9,96,0.0008040874445095904
99.9,95,0.0007957115336292822
115.2,94,0.0007873356227489739
82.45,93,0.0007789597118686658
51.0,92,0.0007705838009883575
137.0,92,0.0007705838009883575
225.0,92,0.0007705838009883575
110.7,92,0.0007705838009883575
12.0,92,0.0007705838009883575
57.0,92,0.0007705838009883575
111.6,91,0.0007622078901080492
76.67,91,0.0007622078901080492
81.9,91,0.0007622078901080492
113.4,91,0.0007622078901080492
209.0,90,0.000753831979227741
158.0,90,0.000753831979227741
127.8,89,0.0007454560683474328
131.4,88,0.0007370801574671245
44.5,87,0.0007287042465868163
194.0,87,0.0007287042465868163
119.85,87,0.0007287042465868163
142.2,87,0.0007287042465868163
157.5,86,0.0007203283357065081
250.0,85,0.0007119524248261999
150.3,83,0.0006952006030655833
134.1,83,0.0006952006030655833
95.5,83,0.0006952006030655833
220.0,82,0.0006868246921852752
151.2,82,0.0006868246921852752
132.6,82,0.0006868246921852752
87.3,81,0.0006784487813049669
64.8,81,0.0006784487813049669
138.6,80,0.0006700728704246586
199.0,80,0.0006700728704246586
26.0,80,0.0006700728704246586
142.0,79,0.0006616969595443505
156.6,79,0.0006616969595443505
108.9,79,0.0006616969595443505
32.0,78,0.0006533210486640422
73.33,78,0.0006533210486640422
41.4,77,0.000644945137783734
148.0,77,0.000644945137783734
27.0,77,0.000644945137783734
79.5,76,0.0006365692269034258
161.0,76,0.0006365692269034258
43.2,75,0.0006281933160231175
57.6,74,0.0006198174051428093
73.95,74,0.0006198174051428093
129.6,73,0.000611441494262501
146.7,72,0.0006030655833821928
109.65,71,0.0005946896725018846
68.4,71,0.0005946896725018846
128.7,70,0.0005863137616215763
240.0,68,0.0005695619398609599
6.0,68,0.0005695619398609599
157.0,68,0.0005695619398609599
184.0,68,0.0005695619398609599
167.0,68,0.0005695619398609599
33.3,67,0.0005611860289806516
46.4,67,0.0005611860289806516
192.0,66,0.0005528101181003435
80.3,66,0.0005528101181003435
211.0,65,0.0005444342072200352
205.0,64,0.0005360582963397269
191.0,64,0.0005360582963397269
219.0,64,0.0005360582963397269
176.0,63,0.0005276823854594187
177.3,62,0.0005193064745791105
72.75,62,0.0005193064745791105
221.0,61,0.0005109305636988022
50.4,61,0.0005109305636988022
187.0,60,0.000502554652818494
177.0,60,0.000502554652818494
