agent,Count,Percentage
142.0,137,0.001147499790602228
52.0,137,0.001147499790602228
95.0,135,0.0011307479688416116
410.0,133,0.001113996147080995
248.0,131,0.0010972443253203785
234.0,128,0.0010721165926794538
67.0,127,0.0010637406817991457
39.0,127,0.0010637406817991457
330.0,125,0.001046988860038529
146.0,124,0.001038612949158221
98.0,124,0.001038612949158221
94.0,114,0.0009548538403551386
35.0,109,0.0009129742859535975
220.0,104,0.0008710947315520563
36.0,100,0.0008375910880308234
89.0,99,0.0008292151771505151
464.0,98,0.0008208392662702069
155.0,94,0.0007873356227489739
170.0,93,0.0007789597118686658
69.0,90,0.000753831979227741
159.0,89,0.0007454560683474328
253.0,87,0.0007287042465868163
13.0,82,0.0006868246921852752
281.0,82,0.0006868246921852752
185.0,78,0.0006533210486640422
339.0,77,0.000644945137783734
87.0,77,0.000644945137783734
82.0,77,0.000644945137783734
41.0,75,0.0006281933160231175
71.0,73,0.000611441494262501
75.0,73,0.000611441494262501
118.0,69,0.0005779378507412681
99.0,68,0.0005695619398609599
531.0,68,0.0005695619398609599
157.0,61,0.0005109305636988022
385.0,60,0.000502554652818494
181.0,59,0.0004941787419381858
91.0,58,0.00048580283105787754
390.0,57,0.0004774269201775693
495.0,57,0.0004774269201775693
133.0,56,0.0004690510092972611
440.0,56,0.0004690510092972611
151.0,56,0.0004690510092972611
332.0,55,0.0004606750984169528
308.0,54,0.0004522991875366446
104.0,53,0.0004439232766563364
184.0,52,0.00043554736577602817
249.0,51,0.0004271714548957199
47.0,50,0.0004187955440154117
468.0,49,0.00041041963313510346
436.0,49,0.00041041963313510346
79.0,47,0.00039366781137448696
4.0,47,0.00039366781137448696
286.0,45,0.0003769159896138705
127.0,45,0.0003769159896138705
368.0,45,0.0003769159896138705
183.0,45,0.0003769159896138705
305.0,45,0.0003769159896138705
66.0,44,0.00036854007873356225
296.0,42,0.0003517882569729458
201.0,42,0.0003517882569729458
192.0,41,0.0003434123460926376
375.0,40,0.0003350364352123293
467.0,39,0.0003266605243320211
261.0,38,0.0003182846134517129
121.0,37,0.00030990870257140466
162.0,37,0.00030990870257140466
78.0,37,0.00030990870257140466
245.0,37,0.00030990870257140466
378.0,36,0.0003015327916910964
313.0,36,0.0003015327916910964
306.0,35,0.00029315688081078817
493.0,35,0.00029315688081078817
527.0,35,0.00029315688081078817
77.0,33,0.00027640505905017173
434.0,33,0.00027640505905017173
394.0,33,0.00027640505905017173
387.0,32,0.00026802914816986345
479.0,32,0.00026802914816986345
45.0,32,0.00026802914816986345
33.0,31,0.00025965323728955524
254.0,29,0.00024290141552893877
235.0,29,0.00024290141552893877
173.0,29,0.00024290141552893877
252.0,29,0.00024290141552893877
63.0,29,0.00024290141552893877
350.0,28,0.00023452550464863055
334.0,28,0.00023452550464863055
149.0,28,0.00023452550464863055
492.0,28,0.00023452550464863055
57.0,28,0.00023452550464863055
205.0,27,0.0002261495937683223
323.0,25,0.00020939777200770584
23.0,25,0.00020939777200770584
153.0,25,0.00020939777200770584
310.0,25,0.00020939777200770584
502.0,24,0.0002010218611273976
187.0,24,0.0002010218611273976
256.0,24,0.0002010218611273976
257.0,24,0.0002010218611273976
128.0,23,0.00019264595024708937
336.0,23,0.00019264595024708937
64.0,23,0.00019264595024708937
348.0,22,0.00018427003936678113
262.0,22,0.00018427003936678113
24.0,22,0.00018427003936678113
174.0,22,0.00018427003936678113
103.0,21,0.0001758941284864729
359.0,21,0.0001758941284864729
50.0,20,0.00016751821760616466
327.0,20,0.00016751821760616466
74.0,20,0.00016751821760616466
455.0,19,0.00015914230672585644
423.0,19,0.00015914230672585644
364.0,19,0.00015914230672585644
88.0,19,0.00015914230672585644
60.0,19,0.00015914230672585644
290.0,19,0.00015914230672585644
53.0,18,0.0001507663958455482
223.0,18,0.0001507663958455482
474.0,17,0.00014239048496523997
459.0,16,0.00013401457408493173
55.0,16,0.00013401457408493173
425.0,16,0.00013401457408493173
111.0,16,0.00013401457408493173
411.0,16,0.00013401457408493173
112.0,15,0.0001256386632046235
32.0,15,0.0001256386632046235
215.0,15,0.0001256386632046235
193.0,15,0.0001256386632046235
360.0,15,0.0001256386632046235
