lead_time,Count,Percentage
132,259,0.0021693609179998324
138,257,0.002152609096239216
155,256,0.0021442331853589076
106,255,0.0021358572744785997
177,252,0.002110729541837675
120,252,0.002110729541837675
172,251,0.0021023536309573666
188,251,0.0021023536309573666
126,250,0.002093977720077058
198,250,0.002093977720077058
219,250,0.002093977720077058
186,247,0.0020688499874361335
125,247,0.0020688499874361335
211,246,0.0020604740765558256
157,245,0.002052098165675517
114,245,0.002052098165675517
119,242,0.0020269704330345925
153,242,0.0020269704330345925
165,242,0.0020269704330345925
145,242,0.0020269704330345925
146,242,0.0020269704330345925
136,238,0.0019934667895133594
179,232,0.0019432113242315102
127,231,0.001934835413351202
265,230,0.0019264595024708936
161,230,0.0019264595024708936
221,223,0.001867828126308736
139,221,0.0018510763045481197
189,219,0.0018343244827875031
144,219,0.0018343244827875031
147,218,0.001825948571907195
163,217,0.0018175726610268866
173,215,0.0018008208392662703
207,212,0.0017756931066253456
199,212,0.0017756931066253456
185,210,0.001758941284864729
171,210,0.001758941284864729
215,209,0.0017505653739844208
160,207,0.0017338135522238043
247,206,0.0017254376413434961
210,204,0.0017086858195828796
184,202,0.0016919339978222632
316,200,0.0016751821760616467
245,200,0.0016751821760616467
212,198,0.0016584303543010302
292,196,0.0016416785325404138
203,195,0.0016333026216601054
149,195,0.0016333026216601054
167,191,0.0015997989781388726
208,191,0.0015997989781388726
226,190,0.0015914230672585644
301,190,0.0015914230672585644
286,189,0.0015830471563782562
193,189,0.0015830471563782562
195,187,0.0015662953346176397
304,181,0.0015160398693357903
386,180,0.001507663958455482
154,179,0.0014992880475751737
170,175,0.0014657844040539408
191,174,0.0014574084931736327
197,174,0.0014574084931736327
259,170,0.0014239048496523998
305,168,0.0014071530278917832
336,167,0.001398777117011475
279,165,0.0013820252952508585
256,164,0.0013736493843705504
275,164,0.0013736493843705504
364,163,0.001365273473490242
176,160,0.0013401457408493173
190,160,0.0013401457408493173
273,160,0.0013401457408493173
204,159,0.0013317698299690091
214,158,0.001323393919088701
182,155,0.0012982661864477762
205,154,0.001289890275567468
239,154,0.001289890275567468
222,151,0.0012647625429265434
236,150,0.001256386632046235
276,149,0.0012480107211659268
220,149,0.0012480107211659268
233,149,0.0012480107211659268
244,149,0.0012480107211659268
323,148,0.0012396348102856186
302,147,0.0012312588994053103
206,146,0.001222882988525002
342,145,0.001214507077644694
240,145,0.001214507077644694
258,145,0.001214507077644694
225,145,0.001214507077644694
201,145,0.001214507077644694
200,143,0.0011977552558840774
272,143,0.0011977552558840774
196,140,0.0011726275232431527
223,139,0.0011642516123628445
278,138,0.0011558757014825361
287,136,0.0011391238797219198
257,132,0.001105620236200687
315,132,0.001105620236200687
187,131,0.0010972443253203785
405,129,0.0010804925035597622
224,128,0.0010721165926794538
320,126,0.0010553647709188375
238,126,0.0010553647709188375
262,126,0.0010553647709188375
251,126,0.0010553647709188375
274,125,0.001046988860038529
267,124,0.001038612949158221
283,123,0.0010302370382779128
281,122,0.0010218611273976044
194,120,0.001005109305636988
241,117,0.0009799815729960634
335,115,0.0009632297512354468
270,115,0.0009632297512354468
237,112,0.0009381020185945222
202,110,0.0009213501968339057
288,110,0.0009213501968339057
290,109,0.0009129742859535975
295,108,0.0009045983750732892
423,108,0.0009045983750732892
230,108,0.0009045983750732892
346,106,0.0008878465533126728
253,105,0.0008794706424323645
261,105,0.0008794706424323645
218,105,0.0008794706424323645
468,105,0.0008794706424323645
414,105,0.0008794706424323645
243,104,0.0008710947315520563
297,104,0.0008710947315520563
309,104,0.0008710947315520563
263,102,0.0008543429097914398
351,102,0.0008543429097914398
330,101,0.0008459669989111316
217,101,0.0008459669989111316
322,100,0.0008375910880308234
209,99,0.0008292151771505151
260,98,0.0008208392662702069
350,98,0.0008208392662702069
317,97,0.0008124633553898986
229,96,0.0008040874445095904
300,93,0.0007789597118686658
289,92,0.0007705838009883575
231,92,0.0007705838009883575
337,92,0.0007705838009883575
227,91,0.0007622078901080492
254,91,0.0007622078901080492
271,91,0.0007622078901080492
250,91,0.0007622078901080492
377,89,0.0007454560683474328
314,88,0.0007370801574671245
457,88,0.0007370801574671245
327,88,0.0007370801574671245
216,87,0.0007287042465868163
312,86,0.0007203283357065081
246,86,0.0007203283357065081
393,85,0.0007119524248261999
396,85,0.0007119524248261999
232,83,0.0006952006030655833
269,83,0.0006952006030655833
248,82,0.0006868246921852752
313,81,0.0006784487813049669
311,81,0.0006784487813049669
307,81,0.0006784487813049669
282,79,0.0006616969595443505
280,79,0.0006616969595443505
268,78,0.0006533210486640422
235,77,0.000644945137783734
266,76,0.0006365692269034258
228,76,0.0006365692269034258
294,75,0.0006281933160231175
252,74,0.0006198174051428093
328,73,0.000611441494262501
358,73,0.000611441494262501
383,72,0.0006030655833821928
339,72,0.0006030655833821928
234,69,0.0005779378507412681
285,68,0.0005695619398609599
379,68,0.0005695619398609599
344,67,0.0005611860289806516
451,66,0.0005528101181003435
264,66,0.0005528101181003435
365,65,0.0005444342072200352
321,64,0.0005360582963397269
349,62,0.0005193064745791105
291,60,0.000502554652818494
296,60,0.000502554652818494
418,60,0.000502554652818494
333,59,0.0004941787419381858
255,59,0.0004941787419381858
308,58,0.00048580283105787754
420,57,0.0004774269201775693
391,55,0.0004606750984169528
334,54,0.0004522991875366446
